日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,1518,三井松島ホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,168A,イタミアート,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,5962,浅香工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7791,ドリームベッド,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7792,コラントッテ,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7793,イメージ・マジック,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7794,イーディーピー,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7795,ＫＹＯＲＩＴＳＵ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7800,アミファ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7803,ブシロード,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7804,ビーアンドピー,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7805,プリントネット,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7806,ＭＴＧ,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7807,幸和製作所,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7808,シー・エス・ランバー,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7809,壽屋,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7810,クロスフォー,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7811,中本パックス,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7812,クレステック,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7813,プラッツ,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7814,日本創発グループ,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7815,東京ボード工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,7817,パラマウントベッドホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7818,トランザクション,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7819,粧美堂,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7820,ニホンフラッシュ,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7821,前田工繊,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,7822,永大産業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7823,アートネイチャー,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,7826,フルヤ金属,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
