日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,196A,ＭＦＳ,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,2388,ウェッジホールディングス,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,4351,山田債権回収管理総合事務所,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,5843,ニッポンインシュア,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,5845,全保連,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,7164,全国保証,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,7183,あんしん保証,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7187,ジェイリース,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7191,イントラスト,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7192,日本モーゲージサービス,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7196,Ｃａｓａ,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7198,ＳＢＩアルヒ,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7199,プレミアグループ,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,7320,日本リビング保証,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,7345,アイ・パートナーズフィナンシャル,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,7383,ネットプロテクションズホールディングス,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,7386,ジャパンワランティサポート,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,8253,クレディセゾン,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8424,芙蓉総合リース,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8425,みずほリース,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8439,東京センチュリー,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8508,Ｊトラスト,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,8511,日本証券金融,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8515,アイフル,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8566,リコーリース,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8570,イオンフィナンシャルサービス,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8572,アコム,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8584,ジャックス,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8585,オリエントコーポレーション,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8591,オリックス,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8593,三菱ＨＣキャピタル,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8596,九州リースサービス,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8697,日本取引所グループ,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8771,イー・ギャランティ,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8772,アサックス,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8783,ＧＦＡ,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,8789,フィンテック　グローバル,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,8793,ＮＥＣキャピタルソリューション,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,7,TOPIX Small 2
