日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,4026,神島化学工業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5201,ＡＧＣ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5202,日本板硝子,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5204,石塚硝子,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5210,日本山村硝子,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5214,日本電気硝子,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5216,倉元製作所,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5218,オハラ,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5232,住友大阪セメント,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5233,太平洋セメント,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5237,ノザワ,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5262,日本ヒューム,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5268,旭コンクリート工業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5269,日本コンクリート工業,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5271,トーヨーアサノ,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5273,三谷セキサン,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5277,スパンクリートコーポレーション,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5279,日本興業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5282,ジオスター,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5284,ヤマウホールディングス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5285,ヤマックス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5287,イトーヨーギョー,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5288,アジアパイルホールディングス,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5290,ベルテクスコーポレーション,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5301,東海カーボン,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5302,日本カーボン,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5304,ＳＥＣカーボン,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5310,東洋炭素,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5331,ノリタケ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5332,ＴＯＴＯ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5333,日本碍子,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5334,日本特殊陶業,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5337,ダントーホールディングス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5344,ＭＡＲＵＷＡ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5351,品川リフラクトリーズ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5352,黒崎播磨,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5355,日本坩堝,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5356,美濃窯業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5357,ヨータイ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5363,東京窯業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5367,ニッカトー,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5368,日本インシュレーション,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5380,新東,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5381,Ｍｉｐｏｘ,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5384,フジミインコーポレーテッド,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241031,5386,鶴弥,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,5388,クニミネ工業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5391,エーアンドエーマテリアル,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20241031,5393,ニチアス,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20241031,5395,理研コランダム,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20241031,7943,ニチハ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
