日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,5101,横浜ゴム,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,4,TOPIX Mid400
20241031,5103,昭和ホールディングス,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5105,ＴＯＹＯ　ＴＩＲＥ,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,4,TOPIX Mid400
20241031,5108,ブリヂストン,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,2,TOPIX Large70
20241031,5110,住友ゴム工業,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,4,TOPIX Mid400
20241031,5121,藤倉コンポジット,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,7,TOPIX Small 2
20241031,5122,オカモト,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,7,TOPIX Small 2
20241031,5161,西川ゴム工業,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5162,朝日ラバー,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5184,ニチリン,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5185,フコク,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,7,TOPIX Small 2
20241031,5186,ニッタ,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,7,TOPIX Small 2
20241031,5189,櫻護謨,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5191,住友理工,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,6,TOPIX Small 1
20241031,5192,三ツ星ベルト,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,6,TOPIX Small 1
20241031,5194,相模ゴム工業,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
20241031,5195,バンドー化学,プライム（内国株式）,3350,ゴム製品,6,自動車・輸送機,7,TOPIX Small 2
20241031,5199,不二ラテックス,スタンダード（内国株式）,3350,ゴム製品,6,自動車・輸送機,-,-
