日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,142A,ジンジブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,143A,イシン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,150A,ＪＳＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,151A,ダイブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,156A,マテリアルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,157A,グリーンモンスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,160A,アズパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1717,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,186A,アストロスケールホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,192A,インテグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,195A,ライスカレー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2120,ＬＩＦＵＬＬ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2121,ＭＩＸＩ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2122,インタースペース,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2124,ジェイエイシーリクルートメント,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2127,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,212A,フィットイージー,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2130,メンバーズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2136,ヒップ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2139,中広,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2146,ＵＴグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2148,アイティメディア,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2150,ケアネット,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2152,幼児活動研究会,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2153,Ｅ・Ｊホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2154,オープンアップグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2156,セーラー広告,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2157,コシダカホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,215A,タイミー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2162,ｎｍｓ　ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2163,アルトナー,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2164,地域新聞社,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2168,パソナグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2169,ＣＤＳ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2170,リンクアンドモチベーション,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2173,博展,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2175,エス・エム・エス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2179,成学社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2180,サニーサイドアップグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2181,パーソルホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2183,リニカル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2185,シイエム・シイ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2186,ソーバル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2193,クックパッド,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2195,アミタホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2196,エスクリ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2198,アイ・ケイ・ケイホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2300,きょくとう,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2301,学情,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2304,ＣＳＳホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2305,スタジオアリス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2311,エプコ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2325,ＮＪＳ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2331,綜合警備保障,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2334,イオレ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2340,極楽湯ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2341,アルバイトタイムス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2342,トランスジェニックグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2344,平安レイサービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2370,メディネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2371,カカクコム,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2372,アイロムグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2373,ケア２１,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2374,セントケア・ホールディング,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2375,ギグワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2376,サイネックス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2378,ルネサンス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2379,ディップ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,2385,総医研ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2389,デジタルホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2391,プラネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2393,日本ケアサプライ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2395,新日本科学,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2397,ＤＮＡチップ研究所,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2404,鉄人化ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2408,ＫＧ情報,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2410,キャリアデザインセンター,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2413,エムスリー,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2415,ヒューマンホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2418,ツカダ・グローバルホールディング,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2424,ブラス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2425,ケアサービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2428,ウェルネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2429,ワールドホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2432,ディー・エヌ・エー,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2433,博報堂ＤＹホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20241031,2435,シダー,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2436,共同ピーアール,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2438,アスカネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2440,ぐるなび,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2445,タカミヤ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2449,プラップジャパン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2454,オールアバウト,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2459,アウンコンサルティング,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2461,ファンコミュニケーションズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2462,ライク,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2464,Ａｏｂａ‐ＢＢＴ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20241031,2469,ヒビノ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,246A,アスア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,2471,エスプール,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
