日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,3708,特種東海製紙,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3861,王子ホールディングス,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,4,TOPIX Mid400
20241031,3863,日本製紙,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,6,TOPIX Small 1
20241031,3864,三菱製紙,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3865,北越コーポレーション,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,6,TOPIX Small 1
20241031,3877,中越パルプ工業,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3880,大王製紙,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,6,TOPIX Small 1
20241031,3891,ニッポン高度紙工業,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3892,岡山製紙,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3895,ハビックス,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3896,阿波製紙,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3941,レンゴー,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,4,TOPIX Mid400
20241031,3943,大石産業,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3944,古林紙工,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3945,スーパーバッグ,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3946,トーモク,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3947,ダイナパック,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3948,光ビジネスフォーム,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3950,ザ・パック,プライム（内国株式）,3150,パルプ・紙,4,素材・化学,7,TOPIX Small 2
20241031,3951,朝日印刷,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3953,大村紙業,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3954,昭和パックス,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3955,イムラ,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
20241031,3958,笹徳印刷,スタンダード（内国株式）,3150,パルプ・紙,4,素材・化学,-,-
