日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,146A,コロンビア・ワークス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,166A,タスキホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,1878,大東建託,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,187A,サムティホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,2337,いちご,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,2353,日本駐車場開発,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,2970,グッドライフカンパニー,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2975,スター・マイカ・ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,2978,ツクルバ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2980,ＳＲＥホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,2981,ランディックス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2982,ＡＤワークスグループ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,2983,アールプランナー,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2984,ヤマイチ・ユニハイムエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2986,ＬＡホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2991,ランドネット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2993,長栄,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2997,ストレージ王,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2998,クリアル,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,2999,ホームポジション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3003,ヒューリック,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,3231,野村不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,3232,三重交通グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3236,プロパスト,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3237,イントランス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3238,セントラル総合開発,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3241,ウィル,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3242,アーバネットコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3245,ディア・ライフ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3246,コーセーアールイー,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3248,アールエイジ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3252,地主,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3254,プレサンスコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,3261,グランディーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3264,アスコット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3266,ファンドクリエーショングループ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3271,ＴＨＥグローバル社,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3275,ハウスコム,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3276,ＪＰＭＣ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3277,サンセイランディック,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3280,エストラスト,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3284,フージャースホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3286,トラストホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3288,オープンハウスグループ,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,3289,東急不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,3291,飯田グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241031,3293,アズマハウス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3294,イーグランド,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3297,東武住販,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3299,ムゲンエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3300,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3452,ビーロット,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3454,ファーストブラザーズ,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3457,Ａｎｄ　Ｄｏホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3458,シーアールイー,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3461,パルマ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,3465,ケイアイスター不動産,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241031,3467,アグレ都市デザイン,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,3469,デュアルタップ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
