日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,7157,ライフネット生命保険,グロース（内国株式）,7150,保険業,16,金融（除く銀行）,-,-
20241031,7181,かんぽ生命保険,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,7325,アイリックコーポレーション,グロース（内国株式）,7150,保険業,16,金融（除く銀行）,-,-
20241031,7326,ＳＢＩインシュアランスグループ,グロース（内国株式）,7150,保険業,16,金融（除く銀行）,-,-
20241031,7343,ブロードマインド,グロース（内国株式）,7150,保険業,16,金融（除く銀行）,-,-
20241031,7388,ＦＰパートナー,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8630,ＳＯＭＰＯホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8715,アニコム　ホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8750,第一生命ホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8766,東京海上ホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,1,TOPIX Core30
20241031,8795,Ｔ＆Ｄホールディングス,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8798,アドバンスクリエイト,プライム（内国株式）,7150,保険業,16,金融（除く銀行）,7,TOPIX Small 2
