日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,9058,トランコム,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20241031,9066,日新,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9193,東京汽船,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9301,三菱倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,4,TOPIX Mid400
20241031,9302,三井倉庫ホールディングス,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20241031,9303,住友倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20241031,9304,澁澤倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9306,東陽倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9307,杉村倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9310,日本トランスシティ,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9311,アサガミ,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9312,ケイヒン,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9313,丸八倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9319,中央倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9322,川西倉庫,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9324,安田倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9325,ファイズホールディングス,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9326,関通,グロース（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9327,イー・ロジット,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9351,東洋埠頭,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9353,櫻島埠頭,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9355,リンコーコーポレーション,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9361,伏木海陸運送,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9362,兵機海運,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9363,大運,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9364,上組,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,4,TOPIX Mid400
20241031,9365,トレーディア,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9366,サンリツ,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9367,大東港運,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9368,キムラユニティー,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9369,キユーソー流通システム,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9377,エージーピー,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20241031,9380,東海運,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9381,エーアイテイー,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9384,内外トランスライン,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20241031,9386,日本コンセプト,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
