日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,177A,コージンバイオ,グロース（内国株式）,3200,化学,4,素材・化学,-,-
20241031,247A,Ａｉロボティクス,グロース（内国株式）,3200,化学,4,素材・化学,-,-
20241031,2930,北の達人コーポレーション,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,3405,クラレ,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,3407,旭化成,プライム（内国株式）,3200,化学,4,素材・化学,2,TOPIX Large70
20241031,3553,共和レザー,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,3878,巴川コーポレーション,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,4004,レゾナック・ホールディングス,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4005,住友化学,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4008,住友精化,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4021,日産化学,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4022,ラサ工業,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,4023,クレハ,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4025,多木化学,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,4027,テイカ,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,4028,石原産業,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4031,片倉コープアグリ,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241031,4040,南海化学,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20241031,4041,日本曹達,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4042,東ソー,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4043,トクヤマ,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4044,セントラル硝子,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4045,東亞合成,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241031,4046,大阪ソーダ,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20241031,4047,関東電化工業,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
