日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,197A,タウンズ,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,2160,ジーエヌアイグループ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,219A,Ｈｅａｒｔｓｅｅｄ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4151,協和キリン,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4502,武田薬品工業,プライム（内国株式）,3250,医薬品,5,医薬品,1,TOPIX Core30
20241031,4503,アステラス製薬,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20241031,4506,住友ファーマ,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4507,塩野義製薬,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20241031,4512,わかもと製薬,スタンダード（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4516,日本新薬,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4519,中外製薬,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20241031,4521,科研製薬,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4523,エーザイ,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20241031,4524,森下仁丹,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4527,ロート製薬,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4528,小野薬品工業,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4530,久光製薬,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4534,持田製薬,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4536,参天製薬,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4538,扶桑薬品工業,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4539,日本ケミファ,スタンダード（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4540,ツムラ,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4547,キッセイ薬品工業,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4548,生化学工業,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4549,栄研化学,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4551,鳥居薬品,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4552,ＪＣＲファーマ,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4553,東和薬品,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4554,富士製薬工業,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4556,カイノス,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4558,中京医薬品,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4559,ゼリア新薬工業,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4563,アンジェス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4564,オンコセラピー・サイエンス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4565,ネクセラファーマ,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4568,第一三共,プライム（内国株式）,3250,医薬品,5,医薬品,1,TOPIX Core30
20241031,4569,杏林製薬,プライム（内国株式）,3250,医薬品,5,医薬品,6,TOPIX Small 1
20241031,4570,免疫生物研究所,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4571,ＮＡＮＯ　ＭＲＮＡ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4572,カルナバイオサイエンス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4574,大幸薬品,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4575,キャンバス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4576,デ・ウエスタン・セラピテクス研究所,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4577,ダイト,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4578,大塚ホールディングス,プライム（内国株式）,3250,医薬品,5,医薬品,2,TOPIX Large70
20241031,4579,ラクオリア創薬,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4582,シンバイオ製薬,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4583,カイオム・バイオサイエンス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4584,キッズウェル・バイオ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4586,メドレックス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4587,ペプチドリーム,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4588,オンコリスバイオファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4591,リボミック,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4592,サンバイオ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4593,ヘリオス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4594,ブライトパス・バイオ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4595,ミズホメディー,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4596,窪田製薬ホールディングス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4597,ソレイジア・ファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4599,ステムリム,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4880,セルソース,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4881,ファンペップ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4882,ペルセウスプロテオミクス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4883,モダリス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4884,クリングルファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4885,室町ケミカル,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4886,あすか製薬ホールディングス,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20241031,4887,サワイグループホールディングス,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20241031,4888,ステラファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4889,レナサイエンス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4890,坪田ラボ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4891,ティムス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4892,サイフューズ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4893,ノイルイミューン・バイオテック,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4894,クオリプス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,4896,ケイファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
