日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,167A,リョーサン菱洋ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2668,タビオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2676,高千穂交易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,2692,伊藤忠食品,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,2693,ＹＫＴ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2700,木徳神糧,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2708,久世,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2715,エレマテック,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,2721,ジェイホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2733,あらた,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,2737,トーメンデバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241031,2743,ピクセルカンパニーズ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2750,石光商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2751,テンポスホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2760,東京エレクトロン　デバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,2763,エフティグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2767,円谷フィールズホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,2768,双日,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241031,2776,新都ホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241031,2784,アルフレッサ　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
