日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,138A,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,141A,トライアルホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,245A,ＩＮＧＳ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,262A,インターメスティック,プライム（内国株式）,6100,小売業,14,小売,-,-
20241031,2652,まんだらけ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2653,イオン九州,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2654,アスモ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2656,ベクターホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2659,サンエー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2664,カワチ薬品,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2666,オートウェーブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2669,カネ美食品,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2670,エービーシー・マート,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,2673,夢みつけ隊,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2674,ハードオフコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2678,アスクル,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2681,ゲオホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2683,魚喜,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2685,アダストリア,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2686,ジーフット,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2694,焼肉坂井ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2695,くら寿司,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2698,キャンドゥ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2702,日本マクドナルドホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2705,大戸屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2722,ＩＫホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2726,パルグループホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2730,エディオン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2734,サーラコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2735,ワッツ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2736,フェスタリアホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2742,ハローズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2747,北雄ラッキー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2752,フジオフードグループ本社,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2753,あみやき亭,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2754,東葛ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2764,ひらまつ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2778,パレモ・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2780,コメ兵ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2782,セリア,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2789,カルラ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2790,ナフコ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,2791,大黒天物産,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,2792,ハニーズホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2796,ファーマライズホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3011,バナーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3020,アプライド,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3028,アルペン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3030,ハブ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3034,クオールホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3046,ジンズホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3048,ビックカメラ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3050,ＤＣＭホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3053,ペッパーフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3058,三洋堂ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3059,ヒラキ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3065,ライフフーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3067,東京一番フーズ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3068,ＷＤＩ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3071,ストリーム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3073,ＤＤグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3075,銚子丸,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3077,ホリイフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3080,ジェーソン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3082,きちりホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3083,シーズメン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3086,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3087,ドトール・日レスホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3091,ブロンコビリー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3092,ＺＯＺＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3093,トレジャー・ファクトリー,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3094,スーパーバリュー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3096,オーシャンシステム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3097,物語コーポレーション,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3099,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3133,海帆,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3134,Ｈａｍｅｅ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3135,マーケットエンタープライズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3141,ウエルシアホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3148,クリエイトＳＤホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3169,ミサワ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3172,ティーライフ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3174,ハピネス・アンド・ディ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3175,エー・ピーホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3177,ありがとうサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3178,チムニー,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3179,シュッピン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3181,買取王国,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3182,オイシックス・ラ・大地,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3184,ＩＣＤＡホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3185,夢展望,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3186,ネクステージ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3187,ミラタップ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3189,ＡＮＡＰ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3190,ホットマン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3191,ジョイフル本田,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3192,白鳩,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3193,エターナルホスピタリティグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3195,ジェネレーションパス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3196,ホットランド,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3197,すかいらーくホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3198,ＳＦＰホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3199,綿半ホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3221,ヨシックスホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3223,エスエルディー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3224,ゼネラル・オイスター,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3317,フライングガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3319,ゴルフダイジェスト・オンライン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3328,ＢＥＥＮＯＳ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3329,東和フードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3333,あさひ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3341,日本調剤,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3347,トラスト,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3349,コスモス薬品,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3352,バッファロー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3353,メディカル一光グループ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3358,ワイエスフード,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3361,トーエル,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3370,フジタコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3372,関門海,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3375,ＺＯＡ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3382,セブン＆アイ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売,1,TOPIX Core30
20241031,3387,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241031,3391,ツルハホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3395,サンマルクホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3396,フェリシモ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3397,トリドールホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3399,丸千代山岡家,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3416,ピクスタ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3418,バルニバービ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3536,アクサスホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3538,ウイルプラスホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3539,ＪＭホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3542,ベガコーポレーション,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3544,サツドラホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3546,アレンザホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3547,串カツ田中ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3548,バロックジャパンリミテッド,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3549,クスリのアオキホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241031,3550,スタジオアタオ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3556,リネットジャパングループ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3557,ユナイテッド＆コレクティブ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3558,ジェイドグループ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,3560,ほぼ日,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241031,3561,力の源ホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241031,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
