日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,1909,日本ドライケミカル,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,5631,日本製鋼所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6005,三浦工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6013,タクマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6022,赤阪鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6101,ツガミ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6103,オークマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6104,芝浦機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6113,アマダ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6118,アイダエンジニアリング,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6125,岡本工作機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6131,浜井産業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6134,ＦＵＪＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6135,牧野フライス製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6136,オーエスジー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6137,小池酸素工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6138,ダイジェット工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6140,旭ダイヤモンド工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6141,ＤＭＧ森精機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6143,ソディック,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6144,西部電機,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6145,ＮＩＴＴＯＫＵ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6146,ディスコ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20241031,6147,ヤマザキ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6149,小田原エンジニアリング,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6150,タケダ機械,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6151,日東工器,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6155,高松機械工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6156,エーワン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6157,日進工具,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6158,和井田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6159,ミクロン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6161,エスティック,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6164,太陽工機,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6165,パンチ工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6166,中村超硬,グロース（内国株式）,3600,機械,8,機械,-,-
20241031,6167,冨士ダイス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6203,豊和工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6208,石川製作所,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6209,リケンＮＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6210,東洋機械金属,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6217,津田駒工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6218,エンシュウ,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6222,島精機製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6223,西部技研,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6224,ＪＲＣ,グロース（内国株式）,3600,機械,8,機械,-,-
20241031,6226,守谷輸送機工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6227,ＡＩメカテック,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6228,ジェイ・イー・ティ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6229,オーケーエム,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6230,ＳＡＮＥＩ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6231,木村工機,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6232,ＡＣＳＬ,グロース（内国株式）,3600,機械,8,機械,-,-
20241031,6233,ＫＬＡＳＳ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6235,オプトラン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6237,イワキポンプ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6238,フリュー,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6239,ナガオカ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6240,ヤマシンフィルタ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6245,ヒラノテクシード,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6246,テクノスマート,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6247,日阪製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6248,横田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6249,ゲームカード・ジョイコホールディングス,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6250,やまびこ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6254,野村マイクロ・サイエンス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6255,エヌ・ピー・シー,グロース（内国株式）,3600,機械,8,機械,-,-
20241031,6257,藤商事,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6258,平田機工,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6262,ＰＥＧＡＳＵＳ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6264,マルマエ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6265,コンバム,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6266,タツモ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6267,ゼネラルパッカー,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6268,ナブテスコ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6269,三井海洋開発,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6272,レオン自動機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6273,ＳＭＣ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20241031,6277,ホソカワミクロン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6278,ユニオンツール,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6279,瑞光,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6282,オイレス工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6284,日精エー・エス・ビー機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6286,靜甲,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6287,サトーホールディングス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6289,技研製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20241031,6291,日本エアーテック,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6292,カワタ,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6293,日精樹脂工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6294,オカダアイヨン,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6297,鉱研工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6298,ワイエイシイホールディングス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6301,小松製作所,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20241031,6302,住友重機械工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6305,日立建機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20241031,6306,日工,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6307,サンセイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6309,巴工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6310,井関農機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20241031,6312,フロイント産業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20241031,6315,ＴＯＷＡ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
