日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20241031,1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20241031,1375,雪国まいたけ,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1
20241031,1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
