日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,9101,日本郵船,プライム（内国株式）,5100,海運業,12,運輸・物流,2,TOPIX Large70
20241031,9104,商船三井,プライム（内国株式）,5100,海運業,12,運輸・物流,2,TOPIX Large70
20241031,9107,川崎汽船,プライム（内国株式）,5100,海運業,12,運輸・物流,4,TOPIX Mid400
20241031,9110,ＮＳユナイテッド海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20241031,9115,明海グループ,スタンダード（内国株式）,5100,海運業,12,運輸・物流,7,TOPIX Small 2
20241031,9119,飯野海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20241031,9127,玉井商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20241031,9130,共栄タンカー,スタンダード（内国株式）,5100,海運業,12,運輸・物流,7,TOPIX Small 2
20241031,9171,栗林商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20241031,9173,東海汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20241031,9308,乾汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,7,TOPIX Small 2
