日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,3315,日本コークス工業,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5010,日本精蝋,スタンダード（内国株式）,3300,石油・石炭製品,2,エネルギー資源,-,-
20241031,5011,ニチレキグループ,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5013,ユシロ化学工業,スタンダード（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5015,ビーピー・カストロール,スタンダード（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5017,富士石油,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5018,ＭＯＲＥＳＣＯ,スタンダード（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241031,5019,出光興産,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,4,TOPIX Mid400
20241031,5020,ＥＮＥＯＳホールディングス,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,2,TOPIX Large70
20241031,5021,コスモエネルギーホールディングス,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,4,TOPIX Mid400
