日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,165A,ＳＢＩレオスひふみ,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,5834,ＳＢＩリーシングサービス,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,5842,インテグラル,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7148,ＦＰＧ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,7162,アストマックス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7172,ジャパンインベストメントアドバイザー,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,7175,今村証券,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7177,ＧＭＯフィナンシャルホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7185,ヒロセ通商,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7342,ウェルスナビ,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,7347,マーキュリアホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8473,ＳＢＩホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8518,日本アジア投資,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8595,ジャフコ　グループ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8601,大和証券グループ本社,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,4,TOPIX Mid400
20241031,8604,野村ホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,2,TOPIX Large70
20241031,8609,岡三証券グループ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8613,丸三証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8614,東洋証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8616,東海東京フィナンシャル・ホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8617,光世証券,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8622,水戸証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8624,いちよし証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8628,松井証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8698,マネックスグループ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8699,ＨＳホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8700,丸八証券,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8704,トレイダーズホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8705,日産証券グループ,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8706,極東証券,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,6,TOPIX Small 1
20241031,8707,岩井コスモホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8708,アイザワ証券グループ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8732,マネーパートナーズグループ,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8737,あかつき本社,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8739,スパークス・グループ,プライム（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8742,小林洋行,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,7,TOPIX Small 2
20241031,8746,ＵＮＢＡＮＫＥＤ,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,8747,豊トラスティ証券,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
