日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,2961,日本調理機,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,2962,テクニスコ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3420,ケー・エフ・シー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3421,稲葉製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,3422,Ｊ－ＭＡＸ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3423,エスイー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3426,アトムリビンテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3431,宮地エンジニアリンググループ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,3433,トーカロ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,3434,アルファＣｏ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,3435,サンコーテクノ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3436,ＳＵＭＣＯ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,3437,特殊電極,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3439,三ツ知,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3440,日創プロニティ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3441,山王,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3443,川田テクノロジーズ,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,3444,菊池製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,3446,ジェイテックコーポレーション,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,3447,信和,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,3449,テクノフレックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5900,ダイケン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5901,東洋製罐グループホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,5902,ホッカンホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5903,シンポ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5905,日本製罐,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5906,エムケー精工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5909,コロナ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5911,横河ブリッジホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5915,駒井ハルテック,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5918,瀧上工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5921,川岸工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5922,那須電機鉄工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5923,高田機工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5928,アルメタックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5929,三和ホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,5930,文化シヤッター,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5932,三協立山,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5933,アルインコ,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5935,元旦ビューティ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5936,東洋シヤッター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5938,ＬＩＸＩＬ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,5939,大谷工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5940,不二サッシ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5941,中西製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5942,日本フイルコン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5943,ノーリツ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5945,天龍製鋸,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5946,長府製作所,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5947,リンナイ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,5950,日本パワーファスニング,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5951,ダイニチ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5952,アマテイ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5955,ワイズホールディングス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5956,トーソー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5957,日東精工,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5958,三洋工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5959,岡部,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5965,フジマック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5966,京都機械工具,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5967,ＴＯＮＥ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5969,ロブテックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5970,ジーテクト,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5971,共和工業所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5973,トーアミ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5974,中国工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5975,東プレ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5976,高周波熱錬,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5981,東京製綱,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5982,マルゼン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5983,イワブチ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5984,兼房,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5985,サンコール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5986,モリテック　スチール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5987,オーネックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5988,パイオラックス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20241031,5989,エイチワン,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5990,スーパーツール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5991,日本発條,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20241031,5992,中央発條,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,5994,ファインシンター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5997,協立エアテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,5998,アドバネクス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,7985,ネポン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241031,7989,立川ブラインド工業,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20241031,8155,三益半導体工業,プライム（内国株式）,3550,金属製品,3,建設・資材,-,-
