日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,5830,いよぎんホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,5831,しずおかフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,5832,ちゅうぎんフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,5838,楽天銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,5844,京都フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,7150,島根銀行,スタンダード（内国株式）,7050,銀行業,15,銀行,7,TOPIX Small 2
20241031,7161,じもとホールディングス,スタンダード（内国株式）,7050,銀行業,15,銀行,7,TOPIX Small 2
20241031,7163,住信ＳＢＩネット銀行,スタンダード（内国株式）,7050,銀行業,15,銀行,-,-
20241031,7167,めぶきフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,7173,東京きらぼしフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7180,九州フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,7182,ゆうちょ銀行,プライム（内国株式）,7050,銀行業,15,銀行,2,TOPIX Large70
20241031,7184,富山第一銀行,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7186,コンコルディア・フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,7189,西日本フィナンシャルホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7322,三十三フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,7,TOPIX Small 2
20241031,7327,第四北越フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7337,ひろぎんホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,7350,おきなわフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,7,TOPIX Small 2
20241031,7380,十六フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7381,北國フィナンシャルホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,7384,プロクレアホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,7,TOPIX Small 2
20241031,7389,あいちフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
20241031,8304,あおぞら銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,7050,銀行業,15,銀行,1,TOPIX Core30
20241031,8308,りそなホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,2,TOPIX Large70
20241031,8309,三井住友トラストグループ,プライム（内国株式）,7050,銀行業,15,銀行,2,TOPIX Large70
20241031,8316,三井住友フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,1,TOPIX Core30
20241031,8331,千葉銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,8334,群馬銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20241031,8336,武蔵野銀行,プライム（内国株式）,7050,銀行業,15,銀行,6,TOPIX Small 1
