日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,2384,ＳＢＳホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9001,東武鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9003,相鉄ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9005,東急,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9006,京浜急行電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9007,小田急電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9008,京王電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9009,京成電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9010,富士急行,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9012,秩父鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9017,新潟交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9020,東日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20241031,9021,西日本旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20241031,9022,東海旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
20241031,9023,東京地下鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9024,西武ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9025,鴻池運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9028,ゼロ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9029,ヒガシトゥエンティワン,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9031,西日本鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9033,広島電鉄,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9034,南総通運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9036,東部ネットワーク,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9037,ハマキョウレックス,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9039,サカイ引越センター,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9041,近鉄グループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9042,阪急阪神ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9044,南海電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9045,京阪ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9046,神戸電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9048,名古屋鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9049,京福電気鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9051,センコン物流,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9052,山陽電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9055,アルプス物流,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9057,遠州トラック,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9059,カンダホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9060,日本ロジテム,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9063,岡山県貨物運送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9064,ヤマトホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9065,山九,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9067,丸運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9068,丸全昭和運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9069,センコーグループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9070,トナミホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9072,ニッコンホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9073,京極運輸商事,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9074,日本石油輸送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9075,福山通運,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9076,セイノーホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9081,神奈川中央交通,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20241031,9082,大和自動車交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9083,神姫バス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9087,タカセ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9090,ＡＺ－ＣＯＭ丸和ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20241031,9142,九州旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9143,ＳＧホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20241031,9145,ビーイングホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20241031,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
