日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,176A,レジル,グロース（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20241031,3150,グリムス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,7692,アースインフィニティ,スタンダード（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20241031,9501,東京電力ホールディングス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9502,中部電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9503,関西電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9504,中国電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9505,北陸電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9506,東北電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9507,四国電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9508,九州電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9509,北海道電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9511,沖縄電力,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
20241031,9513,電源開発,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9514,エフオン,スタンダード（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,9517,イーレックス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,9519,レノバ,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
20241031,9522,リニューアブル・ジャパン,グロース（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20241031,9531,東京瓦斯,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9532,大阪瓦斯,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9533,東邦瓦斯,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
20241031,9534,北海道瓦斯,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,9535,広島ガス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,9536,西部ガスホールディングス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241031,9537,北陸瓦斯,スタンダード（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20241031,9539,京葉瓦斯,スタンダード（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
20241031,9543,静岡ガス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
20241031,9551,メタウォーター,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
