日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,3105,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,3856,Ａｂａｌａｎｃｅ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,4062,イビデン,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,4902,コニカミノルタ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6276,シリウスビジョン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6448,ブラザー工業,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6479,ミネベアミツミ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6501,日立製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20241031,6503,三菱電機,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20241031,6504,富士電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6505,東洋電機製造,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20241031,6506,安川電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6507,シンフォニアテクノロジー,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6508,明電舎,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6513,オリジン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20241031,6516,山洋電気,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6517,デンヨー,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20241031,6518,三相電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6521,オキサイド,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6522,アスタリスク,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6523,ＰＨＣホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6524,湖北工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6526,ソシオネクスト,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6588,東芝テック,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6590,芝浦メカトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20241031,6592,マブチモーター,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241031,6594,ニデック,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20241031,6597,ＨＰＣシステムズ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6599,エブレン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6612,バルミューダ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6613,ＱＤレーザ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20241031,6614,シキノハイテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
