日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,2001,ニップン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2002,日清製粉グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2003,日東富士製粉,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2004,昭和産業,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2009,鳥越製粉,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2053,中部飼料,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2055,日和産業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2060,フィード・ワン,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2107,東洋精糖,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2108,日本甜菜製糖,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2109,ＤＭ三井製糖ホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2112,塩水港精糖,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2114,フジ日本,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2117,ウェルネオシュガー,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2201,森永製菓,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2204,中村屋,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2206,江崎グリコ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2207,名糖産業,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2208,ブルボン,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2209,井村屋グループ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2211,不二家,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2212,山崎製パン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2215,第一屋製パン,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2216,カンロ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2217,モロゾフ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2220,亀田製菓,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2221,岩塚製菓,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2222,寿スピリッツ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2224,コモ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2226,湖池屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2229,カルビー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2264,森永乳業,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2266,六甲バター,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2267,ヤクルト本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2269,明治ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2270,雪印メグミルク,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2281,プリマハム,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2282,日本ハム,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2286,林兼産業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2288,丸大食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2291,福留ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2292,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2293,滝沢ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2294,柿安本店,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2296,伊藤ハム米久ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2501,サッポロホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2502,アサヒグループホールディングス,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
20241031,2503,キリンホールディングス,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
20241031,250A,シマダヤ,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2531,宝ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2533,オエノンホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2540,養命酒製造,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2573,北海道コカ・コーラボトリング,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2585,ライフドリンク　カンパニー,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2586,フルッタフルッタ,グロース（内国株式）,3050,食料品,1,食品,-,-
20241031,2587,サントリー食品インターナショナル,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2588,プレミアムウォーターホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2590,ダイドーグループホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2593,伊藤園,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,25935,伊藤園第１種優先株式,プライム（内国株式）,3050,食料品,1,食品,-,-
20241031,2594,キーコーヒー,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2597,ユニカフェ,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2602,日清オイリオグループ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2607,不二製油グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2612,かどや製油,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2613,Ｊ－オイルミルズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2801,キッコーマン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2802,味の素,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
20241031,2804,ブルドックソース,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2805,ヱスビー食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2806,ユタカフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2809,キユーピー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2810,ハウス食品グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2811,カゴメ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2813,和弘食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2814,佐藤食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2815,アリアケジャパン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241031,2816,ダイショー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2818,ピエトロ,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2819,エバラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2820,やまみ,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2830,アヲハタ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2831,はごろもフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2871,ニチレイ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2872,セイヒョー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2875,東洋水産,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241031,2876,デルソーレ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2877,日東ベスト,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241031,2882,イートアンドホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2883,大冷,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241031,2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
